Profile,Date,1:00 AM,2:00 AM,3:00 AM,4:00 AM,5:00 AM,6:00 AM,7:00 AM,8:00 AM,9:00 AM,10:00 AM,11:00 AM,12:00 PM,1:00 PM,2:00 PM,3:00 PM,4:00 PM,5:00 PM,6:00 PM,7:00 PM,8:00 PM,9:00 PM,10:00 PM,11:00 PM,12:00 AM
E1,1/1/00,0.7462,0.6272,0.52165,0.47795,0.4623,0.5154,0.5489,0.59705,0.6597,0.75515,0.85695,0.8746,0.856,0.8501,0.8513,0.81435,0.89675,1.07755,1.153,1.1246,1.05845,0.9501,0.82915,0.68815
E1,1/2/00,0.5968,0.52495,0.49045,0.47535,0.4825,0.52535,0.5625,0.64935,0.78975,0.84085,0.86535,0.82925,0.81415,0.7574,0.73315,0.7861,0.87315,1.11845,1.1836,1.1424,1.1044,1.02595,0.87215,0.67655
E1,1/3/00,0.54905,0.48845,0.4656,0.46175,0.4722,0.58245,0.716,0.8032,0.75715,0.73285,0.71595,0.6714,0.6416,0.62455,0.62335,0.66355,0.7632,1.0949,1.2284,1.17955,1.1277,1.0079,0.81315,0.6321
E1,1/4/00,0.5323,0.46455,0.44595,0.45535,0.47085,0.577,0.7772,0.868,0.77705,0.7159,0.67195,0.6513,0.64095,0.63,0.60235,0.6402,0.75495,1.0528,1.171,1.1766,1.10445,0.97955,0.7985,0.63155
E1,1/5/00,0.5266,0.47115,0.4544,0.4337,0.454,0.5654,0.7247,0.8119,0.71575,0.6779,0.6463,0.5991,0.61315,0.6037,0.57055,0.59625,0.7039,1.0199,1.177,1.17845,1.06935,0.96955,0.8061,0.6311
E1,1/6/00,0.52555,0.46965,0.4427,0.44395,0.47245,0.57755,0.75045,0.85175,0.7693,0.70425,0.6722,0.6412,0.64715,0.63205,0.6396,0.6666,0.76825,1.01785,1.1261,1.0998,1.0557,0.979,0.81695,0.6573
E1,1/7/00,0.52835,0.4768,0.4427,0.44825,0.48205,0.57355,0.7457,0.80615,0.74645,0.7045,0.6799,0.6477,0.62885,0.6098,0.58225,0.63045,0.73615,0.956,1.04605,1.0761,1.0431,0.931,0.8343,0.7092
E1,1/8/00,0.56865,0.51525,0.48285,0.45515,0.454,0.4925,0.5816,0.7215,0.7938,0.8749,0.8583,0.81255,0.78705,0.752,0.7398,0.78065,0.8343,1.0412,1.10195,1.09935,1.0107,0.9107,0.81325,0.67725
E1,1/9/00,0.5464,0.48245,0.4607,0.4402,0.4389,0.4746,0.5224,0.63335,0.79025,0.84315,0.8554,0.8757,0.84395,0.798,0.77775,0.74855,0.86955,1.1124,1.1281,1.12505,1.1276,0.98515,0.81105,0.61915
E1,1/10/00,0.4812,0.43805,0.41715,0.4188,0.4495,0.54575,0.68515,0.81475,0.74425,0.7075,0.63895,0.60695,0.6381,0.62755,0.6176,0.6293,0.74675,1.0501,1.1425,1.06055,1.01395,0.94005,0.75615,0.5789
E1,1/11/00,0.46785,0.42245,0.41075,0.4097,0.45405,0.5436,0.7192,0.81495,0.7018,0.6663,0.61845,0.6293,0.65305,0.65525,0.67785,0.68495,0.8326,1.0977,1.1448,1.1215,1.0507,0.9229,0.7742,0.6168
E1,1/12/00,0.50585,0.4522,0.431,0.43055,0.4545,0.5693,0.68335,0.7988,0.708,0.68095,0.6772,0.68735,0.6771,0.6365,0.63775,0.66045,0.78535,1.0144,1.09385,1.10415,1.02805,0.94565,0.80565,0.6395
E1,1/13/00,0.5116,0.45995,0.4322,0.4262,0.44645,0.5499,0.72295,0.8265,0.71305,0.66115,0.66155,0.6159,0.60985,0.60105,0.5779,0.61485,0.71375,0.9772,1.10605,1.06745,1.03255,0.9567,0.79845,0.6337
E1,1/14/00,0.5088,0.453,0.41895,0.41465,0.45415,0.542,0.69065,0.8022,0.765,0.73715,0.70755,0.65465,0.61115,0.6059,0.62405,0.6186,0.72205,0.9456,1.02765,0.98525,0.9421,0.8615,0.76395,0.63895
E1,1/15/00,0.5177,0.46385,0.43045,0.4111,0.4234,0.45355,0.51745,0.61795,0.74735,0.81375,0.86465,0.83515,0.7952,0.7752,0.7791,0.8266,0.90195,1.04195,1.0279,1.035,0.9736,0.87545,0.73925,0.6341
E1,1/16/00,0.5249,0.45675,0.42355,0.4261,0.40345,0.43525,0.4874,0.5736,0.7032,0.7652,0.80945,0.8096,0.77855,0.75975,0.7398,0.7283,0.79825,0.97655,1.1026,1.057,1.016,0.9157,0.78005,0.62095
E1,1/17/00,0.5124,0.46335,0.43195,0.4238,0.4389,0.48545,0.59175,0.6861,0.76135,0.84965,0.8503,0.84725,0.82475,0.7964,0.8221,0.82895,0.9539,1.12565,1.22425,1.17735,1.0768,0.94695,0.7716,0.61335
E1,1/18/00,0.50815,0.4382,0.40855,0.40735,0.4211,0.5009,0.68475,0.7928,0.72565,0.69685,0.6488,0.64515,0.6442,0.6428,0.60085,0.62285,0.7362,0.95255,1.13555,1.0818,1.0135,0.9264,0.7613,0.5958
